,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,upernavik,72.7868,-56.1549,-2.56,76,100,6.91,GL,1617052825
1,hermanus,-34.4187,19.2345,66.0,61,22,3.04,ZA,1617052827
2,tasiilaq,65.6145,-37.6368,19.4,63,0,1.14,GL,1617052840
3,vestmannaeyjar,63.4427,-20.2734,34.11,63,99,6.93,IS,1617052887
4,yellowknife,62.456,-114.3525,6.01,47,20,13.8,CA,1617052834
5,aklavik,68.2191,-135.0107,-0.4,60,75,6.91,CA,1617052864
6,punta arenas,-53.15,-70.9167,48.2,93,75,5.75,CL,1617052783
7,tuktoyaktuk,69.4541,-133.0374,-11.2,77,20,16.11,CA,1617053421
8,pisco,-13.7,-76.2167,73.4,68,0,23.02,PE,1617052863
9,mataura,-46.1927,168.8643,54.0,97,100,1.9,NZ,1617052830
10,nizwa,22.9333,57.5333,80.26,20,37,4.56,OM,1617053422
11,avarua,-21.2078,-159.775,84.2,74,20,13.8,CK,1617052823
12,puerto ayora,-0.7393,-90.3518,82.4,78,20,11.5,EC,1617053093
13,lompoc,34.6391,-120.4579,64.0,67,0,18.41,US,1617052649
14,rikitea,-23.1203,-134.9692,79.03,68,11,15.05,PF,1617053423
15,busselton,-33.65,115.3333,62.01,95,13,4.68,AU,1617053423
16,srivardhan,18.0333,73.0167,78.3,70,78,3.87,IN,1617053369
17,ushuaia,-54.8,-68.3,51.8,62,40,6.91,AR,1617053423
18,vaini,-21.2,-175.2,82.4,83,75,5.75,TO,1617053424
19,cape town,-33.9258,18.4232,64.0,72,0,4.61,ZA,1617053088
20,ribeira grande,38.5167,-28.7,59.0,94,75,23.02,PT,1617053083
21,arlington,32.7357,-97.1081,78.8,22,1,16.11,US,1617053388
22,ruwi,23.5996,58.5507,82.4,32,0,4.61,OM,1617053424
23,mar del plata,-38.0023,-57.5575,64.4,72,20,9.22,AR,1617053089
24,hilo,19.7297,-155.09,73.99,83,90,9.22,US,1617052828
25,carnarvon,-24.8667,113.6333,75.2,94,70,8.05,AU,1617052831
26,areosa,41.7178,-8.8571,62.01,77,0,6.93,PT,1617053425
27,lebu,-37.6167,-73.65,61.3,77,7,3.96,CL,1617052898
28,kulhudhuffushi,6.6221,73.07,82.42,72,100,12.75,MV,1617053425
29,dikson,73.5069,80.5464,-27.51,100,33,7.56,RU,1617052860
30,asfi,32.2994,-9.2372,63.28,81,100,5.46,MA,1617052933
31,port alfred,-33.5906,26.891,68.94,85,85,23.35,ZA,1617052978
32,beatrice,40.2681,-96.747,75.2,29,1,28.77,US,1617053426
33,kahului,20.8947,-156.47,80.6,57,40,3.44,US,1617053427
34,shenzhen,22.5455,114.0683,77.0,99,21,6.58,CN,1617053373
35,barrow,71.2906,-156.7887,-2.2,65,1,24.16,US,1617052839
36,vostok,46.4856,135.8833,31.19,99,100,3.2,RU,1617052879
37,yerbogachen,61.2767,108.0108,13.68,98,100,1.68,RU,1617053231
38,new norfolk,-42.7826,147.0587,51.01,70,100,3.22,AU,1617053082
39,chokurdakh,70.6333,147.9167,-5.37,99,97,5.73,RU,1617052831
40,mount gambier,-37.8333,140.7667,51.8,100,90,1.23,AU,1617053091
41,talara,-4.5772,-81.2719,86.0,48,40,16.11,PE,1617053209
42,kavieng,-2.5744,150.7967,82.85,76,99,13.53,PG,1617052837
43,languyan,5.2618,120.0807,80.1,79,50,6.58,PH,1617053428
44,chuy,-33.6971,-53.4616,67.75,87,12,12.19,UY,1617052748
45,srandakan,-7.9386,110.2506,77.23,90,94,1.43,ID,1617053429
46,ekibastuz,51.6667,75.3667,21.54,94,79,10.04,KZ,1617053429
47,gazojak,41.1875,61.4036,44.51,51,7,3.42,TM,1617053429
